date,HillaryClinton,realDonaldTrump
2016-09-26 20:00:00,2406.0,2456.0
2016-09-26 20:05:00,2763.0,2961.0
2016-09-26 20:10:00,2891.0,3136.0
2016-09-26 20:15:00,3161.0,3257.0
2016-09-26 20:20:00,3112.0,3378.0
2016-09-26 20:25:00,2991.0,3357.0
2016-09-26 20:30:00,3557.0,3477.0
2016-09-26 20:35:00,3776.0,3294.0
2016-09-26 20:40:00,3953.0,3407.0
2016-09-26 20:45:00,5056.0,6098.0
2016-09-26 20:50:00,7924.0,6353.0
2016-09-26 20:55:00,7604.0,5786.0
2016-09-26 21:00:00,10227.0,7469.0
2016-09-26 21:05:00,16494.0,9631.0
2016-09-26 21:10:00,21524.0,23418.0
2016-09-26 21:15:00,25849.0,40196.0
2016-09-26 21:20:00,52076.0,51274.0
2016-09-26 21:25:00,45091.0,50815.0
2016-09-26 21:30:00,38043.0,55496.0
2016-09-26 21:35:00,40964.0,58411.0
2016-09-26 21:40:00,43238.0,53172.0
2016-09-26 21:45:00,38036.0,49542.0
2016-09-26 21:50:00,38863.0,58670.0
2016-09-26 21:55:00,50681.0,40210.0
2016-09-26 22:00:00,61214.0,43489.0
2016-09-26 22:05:00,59616.0,49358.0
2016-09-26 22:10:00,40139.0,49523.0
2016-09-26 22:15:00,36621.0,39246.0
2016-09-26 22:20:00,32783.0,51637.0
2016-09-26 22:25:00,49807.0,59498.0
2016-09-26 22:30:00,45930.0,48020.0
2016-09-26 22:35:00,57586.0,48416.0
2016-09-26 22:40:00,53384.0,47653.0
2016-09-26 22:45:00,59503.0,37511.0
2016-09-26 22:50:00,42381.0,31439.0
2016-09-26 22:55:00,34851.0,27970.0
2016-09-26 23:00:00,28128.0,23359.0
2016-09-26 23:05:00,23552.0,20978.0
2016-09-26 23:10:00,21799.0,18845.0
2016-09-26 23:15:00,18674.0,17417.0
2016-09-26 23:20:00,17364.0,16028.0
2016-09-26 23:25:00,15569.0,14578.0
2016-09-26 23:30:00,14403.0,13266.0
2016-09-26 23:35:00,15409.0,13247.0
2016-09-26 23:40:00,16903.0,12103.0
2016-09-26 23:45:00,11190.0,11537.0
2016-09-26 23:50:00,71.0,11956.0
2016-09-26 23:55:00,13598.0,16437.0
2016-09-27 00:00:00,12091.0,14297.0
2016-09-27 00:05:00,11531.0,11679.0
2016-09-27 00:10:00,10258.0,2236.0
2016-09-27 00:15:00,9694.0,1664.0
2016-09-27 00:20:00,9357.0,10023.0
2016-09-27 00:25:00,8613.0,8823.0
2016-09-27 00:30:00,7895.0,8559.0
2016-09-27 00:35:00,7449.0,9880.0
2016-09-27 00:40:00,7000.0,8834.0
2016-09-27 00:45:00,6524.0,8118.0
2016-09-27 00:50:00,5975.0,7516.0
2016-09-27 00:55:00,5843.0,6923.0
2016-09-27 01:00:00,5806.0,7026.0
2016-09-27 01:05:00,5336.0,5959.0
2016-09-27 01:10:00,5280.0,5770.0
2016-09-27 01:15:00,5139.0,6044.0
2016-09-27 01:20:00,5059.0,6413.0
2016-09-27 01:25:00,4835.0,5537.0
